MYear,Com_Name
2021/10,Buff-necked_Ibis
2021/10,Buff-necked_Ibis
2021/10,Buff-necked_Ibis
2021/10,Theristicus_caudatus
2021/10,Theristicus_caudatus
2021/10,Buff-necked_Ibis
2021/10,Buff-necked_Ibis
2021/10,Buff-necked_Ibis
2021/10,Plumbeous_Ibis
2021/10,Plumbeous_Ibis
2021/10,Azaras_Agouti
2021/10,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Azaras_Agouti
2021/12,Black-bellied_Whistling-Duck
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,White-headed_Marsh_Tyrant
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2021/12,Great_Egret
2022/1,Great_Egret
2022/1,Great_Egret
2022/1,Great_Egret
2022/1,Great_Egret
2022/1,Snowy_Egret
2022/1,Cocoi_Heron
2022/1,Cocoi_Heron
2022/1,Savanna_Hawk
2022/1,Snail_Kite
2022/1,Snail_Kite
2022/1,Snail_Kite
2022/1,Snail_Kite
2022/1,Snail_Kite
2022/1,Snail_Kite
2022/1,Snail_Kite
2022/1,Snail_Kite
2022/1,Snail_Kite
2022/1,Great_Black_Hawk
2022/1,Giant_Cowbird
2022/1,Giant_Cowbird
2022/1,Giant_Cowbird
2022/1,Giant_Cowbird
2022/1,Giant_Cowbird
2022/2,Giant_Cowbird
2022/2,Giant_Cowbird
2022/2,Giant_Cowbird
2022/2,Giant_Cowbird
2022/2,Giant_Cowbird
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
2022/2,Wattled_Jacana
